label,text,clean_text
not_spam,zyada itrao mat . english meko bi aati hai :-P ,zyada itrao mat english meko bi aati hai p
not_spam,is ajnbi dunia me akle 1 khwab hu  swalon se khafa chota sa jawab hu me jo na smajh sake unk lie ajnbi or jo samajh sake unk lie khuli kitab hu me...!!!Gudnyt ,ajnbi dunia akle khwab hu swalon se khafa chota sa jawab hu jo na smajh sake unk lie ajnbi jo samajh sake unk lie khuli kitab hu megudnyt
not_spam,Husband n wife were opening joint bank ac Husband put d passwrd as 'penis'wife fell off her chair laughing when computer screen said-password not long enough  ,husband n wife opening joint bank ac husband put passwrd peniswife fell chair laughing computer screen saidpassword long enough
not_spam,Husband Suhag raat pe- Tum ne kabhi Blue Film Dekhi Hai? Wife- Haa 1 Bar. Husbnd-Hum wahi Karenge. Wife- Wo Thik Hai Par Baaki 2 Ladke Tum Laoge Ya Main bulalu  ,husband suhag raat pe tum ne kabhi blue film dekhi hai wife haa bar husbndhum wahi karenge wife wo thik hai par baaki ladke tum laoge ya main bulalu
not_spam,indagi me 5 cheez kabhi bhi aa sakti h 'Hum' 'Hamari call' 'Humara msg' 'Humari misS call' OR...OR..OR... 'HAMARI YAAD' kyun...aayi Na.. ,indagi cheez kabhi bhi aa sakti h hum hamari call humara msg humari miss call ororor hamari yaad kyunaayi na
not_spam,Why do Muslims hate Pigs !!? becz- Pigs produce more babies than muslims.. EGO PROBLEM.! ,muslims hate pigs becz pigs produce babies muslims ego problem
not_spam,Incase Notice koi na dekha ho aj evry clas md jake ekbar announc kar dena. ,incase notice koi na dekha ho aj evry clas md jake ekbar announc kar dena
not_spam,In your life  when you wake up; dont see any one  then come to me  i ll be there to hold ur hand take you to the EYE SPECIALIST ,life wake dont see one come hold ur hand take eye specialist
not_spam,In world 6 things r GOD's gifts 1 mother's love 2 father's advice 3 brother's care 4 sis's fight 5 Kisi ka pyar & 6.Oye apni DOSTI gdmrng ,world things r gods gifts mothers love fathers advice brothers care siss fight kisi ka pyar apni dosti gdmrng
not_spam,in workshop. ,workshop
not_spam,In which condition  men start sweating in 10 mins & women want to go ON & ON & ON? Think.. Think..  SHOPPING :-D God bless ur naughty mind..!  ,condition men start sweating mins women want go think think shopping god bless ur naughty mind
not_spam,In way ,way
not_spam,IN UR FRND CRCLEsbse sweet-sbse sidha-sbse feku-sbse cute-sbse frank-sbse selfish-sbse kamina-sbse special-sbse hot-ur fav-rply must fastjarur krna ,ur frnd crclesbse sweetsbse sidhasbse fekusbse cutesbse franksbse selfishsbse kaminasbse specialsbse hotur favrply must fastjarur krna
not_spam,Is  Fuel  Really Costly?GO AHEAD  READ ON..I filled up my vehicles fuel tank  and I thought fuel has become really expensive ..HahahaBut when I compared it with other  liquids and with some calculations  I felt a little better...Here are the results below..Petrol : Rs.50  per litre..Coca Cola 330ml CAN : Rs.25i.e. Rs.76 per litre..Nariyal paani 200ml Rs.25i.e. Rs. 125 per litre..Pantene conditioner 400ml Rs.165i.e. Rs.413 per litre..Parachute oil100ml Rs21i.e. Rs210.00 per litre..n dis is d REAL KICKERLexmark inkjet color ink cartridge 21ml Rs.950i.e. Rs.45238 per litre..!!So dont curse  Petrol  rates ? be glad your byk/car doesnt run on ink cartridge  coke  hair oil etc.. :-):-D;-)JAO AUR PETROL PHUKOO..!!: :-P ,fuel really costlygo ahead read oni filled vehicles fuel tank thought fuel become really expensive hahahabut compared liquids calculations felt little betterhere results belowpetrol per litrecoca cola per litrenariyal paani rs per litrepantene conditioner per litreparachute per litren dis real kickerlexmark inkjet color ink cartridge per litreso dont curse petrol rates glad bykcar doesnt run ink cartridge coke hair oil etc djao aur petrol phukoo p
not_spam,In the lift ,lift
not_spam,In the hand of life its not important to hold all the good relation...But its more important how good u behave with the relation which u hold.: ,hand life important hold good relationbut important good u behave relation u hold
not_spam,In The End We Only Regret The Chances We Didnt Take. The Relationships We Were Scared To Have And The Decisions We Waited Too Long To Make. There Comes A Time In Your Life When You Realise Who Matters  Who Doesnt   Who Never Did  And  Who Always Will   So Dont Worry About The People From Your Past Theres A Reason They Didnt Make It To Your Future. So Only Send This To The People In Your Life Who Matter...  I Just Did..!!  ,end regret chances didnt take relationships scared decisions waited long make comes time life realise matters doesnt never always dont worry people past theres reason didnt make future send people life matter
not_spam,Why do girls rub their eyes when they get up in the morning?...'coz they don't have balls to scratch! ,girls rub eyes get morningcoz dont balls scratch
not_spam,In the corridor of a government office there was a signboard reading  Do not make noise.  someone added: Otherwise we may wake up.  ,corridor government office signboard reading make noise someone added otherwise may wake
not_spam,In ThE c0oKiE oF LiFe  FriEnDs ArE tHe ChOcOLaTe ChiPs ThAt MaKe LiFe SwEeT  sUrPriSiNg & YuMmY..tHaNk u fOr BeiNg ThE YuMmY cHoCO cHiP oF mY LIFE.Good night:-) ,life friends chocolate chips make life sweet surprising yummythank u yummy choco chip lifegood night
not_spam,In ten minutes. ,ten minutes
not_spam,In se baat kr le  wo bta denge  ,se baat kr le wo bta denge
not_spam,In rum. ,rum
not_spam,In room...nt coming... ,roomnt coming
not_spam,Is  Fuel  Really Costly? GO AHEAD  READ ON.. I filled up my vehicle's fuel tank  and I thght fuel has become really expensive . But whn I compared it with other  liquids nd with some calculations   I felt a little better. Here r d results below.. Petrol : Rs. 64.97 per litre.. Coca Cola 330ml can : Rs.25 i.e. Rs.76 per litre.. Nariyal paani  200ml Rs.25 i.e. Rs. 125 per litre.. Pantene conditioner 400ml Rs.165 i.e. Rs.413 per litre.. Parachute oil 100ml Rs21 i.e. Rs210.00 per litre.. n dis is d REAL KICKER Lexmark inkjet color ink cartridge  21ml Rs.950 i.e. Rs.45238 per litre..!! So think before u say anythng...... So don't curse  Petrol  rates ? b glad ur byk/car doesn't run on ink cartridge  coke  hair oil etc..:-):-D;-) JAO AUR PETROL PHUKOO..!! :)  ,fuel really costly go ahead read filled vehicles fuel tank thght fuel become really expensive whn compared liquids nd calculations felt little better r results petrol rs per litre coca cola ie per litre nariyal paani ie rs per litre pantene conditioner ie per litre parachute oil ie per litre n dis real kicker lexmark inkjet color ink cartridge ie per litre think u say anythng dont curse petrol rates b glad ur bykcar doesnt run ink cartridge coke hair oil etcd jao aur petrol phukoo
not_spam,In raghav sir cls  ,raghav sir cls
not_spam,In our life hapiness is more imp than smile because smile cums from lips but  happiness cums from heart.......:-D ,life hapiness imp smile smile cums lips happiness cums heartd
not_spam,Why do girls rub their eyes when they get up in the morning? . . . coz they dont have balls to scratch! ,girls rub eyes get morning coz dont balls scratch
not_spam,In my dream  U & ME went 2 a wishwell  I bent down threw a coin & made a wish  U bent down a litle more N fell into d well.. I shouted  'Oh teri it works'  ,dream u went wishwell bent threw coin made wish u bent litle n fell well shouted oh teri works
not_spam,In mrng around 12pm.  ,mrng around
not_spam,In maths exam  Santa got one question.. Prove Sin x = 6n.. Santa cancelled 'n' from both the sides. Then six = 6 & wrote Dont mess with Santa d great. :-) ,maths exam santa got one question prove sin x santa cancelled n sides six wrote dont mess santa great
not_spam,In lyf relations have many names...But the best 1 is FRIENDSHIP...Mom says- Tell me beta wats ur prblm .I m like ur frnd na!..Dad says- Dnt feel scared .Take me as ur frnd beta....Bro/sis says-Come on buddy dnt hide anythng frm me...I m like ur frnd....Lover says- Come on sweetheart...Treat me as ur frnd........Only frnd says: ha mujhe kyo bataega .I m not ur frnd na.....dedicated to al my frnds! ,lyf relations many namesbut best friendshipmom says tell beta wats ur prblm like ur frnd nadad says dnt feel scared take ur frnd betabrosis sayscome buddy dnt hide anythng frm mei like ur frndlover says come sweethearttreat ur frndonly frnd says ha mujhe kyo bataega ur frnd nadedicated al frnds
not_spam,in lyf god dun gv u d ppl u want..insteadt he gvs u d ppl u need 2 hurt u 2 luv u & 2 make u xactly d way he wntsu 2 b THE BEST gunnyt!!! - via WAY2SMS.COM  ,lyf god dun gv u ppl u wantinsteadt gvs u ppl u need hurt u luv u make u xactly way wntsu b best gunnyt via
not_spam,In life  we sometimes feel that all doors r now closed 4 us... If that happens with U.. . . . . . . . . . . . . . . Contact  DAYA- CID...:- Tod Dega...:-D  ,life sometimes feel doors r closed us happens u contact daya cid tod degad
not_spam,In life  we sometimes feel that all doors are now closed for us.... If that happens with you  . . . . . . . . . . . . . Contact  DAYA- CID. :-D:-P  ,life sometimes feel doors closed us happens contact daya cid dp
not_spam,irst no. Is 7688443092262767 and the second no. Is 457352573996622 ,irst second
not_spam,In Life We Somtimes Feel That All Doors r Now closed 4 Us If That Happens In Yor Life  Remember These Words- A CLOSED DOOR ISN'T ALWAYS LOCKED... ,life somtimes feel doors r closed us happens yor life remember words closed door isnt always locked
not_spam,Why do engineers sleep for long hours..?? fantastic answer said.. our dreams r always big...:-)  ,engineers sleep long hours fantastic answer said dreams r always big
not_spam,In Life there are 5 things u shud never lose...... +ve Attitude...Heart...Hope...Self respct...and...Well u know the sender's name ,life things u shud never lose attitudehearthopeself respctandwell u know senders name
not_spam,In Life there are 5 things U should never lose.+ve AttitudeTrustHopeSelf respect&Well ab aur kya bataon  U know the senders name..gud mrng -) ,life things u never loseve attitudetrusthopeself respectwell ab aur kya bataon u know senders namegud mrng
not_spam,In life many people help u when it suits THEM  But very few help u when it suits YOU  Make the FEW ur FRIENDS but Be the FEW to the MANY....gudnght:-):-):-):-)  ,life many people help u suits help u suits make ur friends manygudnght
not_spam,In life LOVE is never planned nor does it happen for a reason. But when LOVE is real  It becomes your PLAN for life and your reason for living...:) ,life love never planned happen reason love real becomes plan life reason living
not_spam,In life if you dont adore or appreciate anything you will be filled with negativity n so a person can fall into depression. . Good morning. . Jai sri ram :-) ,life dont adore appreciate anything filled negativity n person fall depression good morning jai sri ram
not_spam,In lif  dnt b slow so dat U miss me .. ..Dnt be 2 fast dat I miss U .. ..Jst Be Wid me  So dat we R 2gethr 4 d MOMENT called FOREVER.. ...:-) tc ,lif dnt b slow dat u miss dnt fast dat miss u jst wid dat r moment called forever tc
not_spam,In library... ,library
not_spam,In lab??? ,lab
not_spam,Irony of lyf: Footwears dat v wear r sold in AC shwrooms bt vegtabls dat v eat  r sold on footpath. Ppl v love  ignore us bt Ppl v ignore  love us.!! Gudnite ,irony lyf footwears dat v wear r sold ac shwrooms bt vegtabls dat v eat r sold footpath ppl v love ignore us bt ppl v ignore love us gudnite
not_spam,In lab 2. ,lab
not_spam,In japan_ Chin cha chu In south africa_ Hula hula hu In china_ Chin pang pu In Hawai_ Hu Lu Lu . . . In india_ Pagal hai tu!  ,japan_ chin cha chu south africa_ hula hula hu china_ chin pang pu hawai_ hu lu lu india_ pagal hai tu
not_spam,In HAPPY moment- Dn't forget me In Difficult moment- trust me In Quiet moment- call me In Painful moment- tell me & In Free moment-miss me.:-)  ,happy moment dnt forget difficult moment trust quiet moment call painful moment tell free momentmiss
not_spam,In future How will i identify ur kids in clasroom? Its simple i ll just check who is erasing his notes wen d teacher is cleaning d board!  gudnyt  ,future identify ur kids clasroom simple check erasing notes wen teacher cleaning board gudnyt
not_spam,In frndship words can go unspoken  yet still b undrstood  Thats y I'm sure tat though i don't say it often u knw hw I value U. n u knw I mean it! ,frndship words go unspoken yet still b undrstood thats im sure tat though dont say often u knw hw value u n u knw mean
not_spam,In exam hall a girl 2 santa: mujhe bas is ans ki starting bata do.Baki main likh lungi. SANTA ne dhyan se idhar-udhar dekha  fir dhire se bola: The ,exam hall girl santa mujhe bas ans ki starting bata dobaki main likh lungi santa ne dhyan se idharudhar dekha fir dhire se bola
not_spam,In Europe they didn't know what 'shortage' meant. In China they didn't know what 'opinion' meant. In the Middle East they didn't know what 'solution' m  ,europe didnt know shortage meant china didnt know opinion meant middle east didnt know solution
