[PREDICTION] Text: Win free recharge !... | Label: spam | Confidence: 0.95
[PREDICTION] Text: Hey Win free recharge !... | Label: spam | Confidence: 0.91
[PREDICTION] Text: Win free iphone !!!... | Label: spam | Confidence: 0.8
[PREDICTION] Text: Hi Hello !!!... | Label: not_spam | Confidence: 0.45
[PREDICTION] Text: win free recharge  !!!... | Label: spam | Confidence: 0.95
[PREDICTION] Text: Ep... | Label: spam | Confidence: 0.61
[PREDICTION] Text:  !... | Label: not_spam | Confidence: 0.5
[PREDICTION] Text:  ❤️... | Label: not_spam | Confidence: 0.5
[PREDICTION] Text: Are we still meeting at 5 PM near the library?... | Label: not_spam | Confidence: 0.52
[PREDICTION] Text: Are we still meeting at 5 PM near the library?... | Label: not_spam | Confidence: 0.52
[PREDICTION] Text: Shall we meet at 5pm... | Label: not_spam | Confidence: 0.28
[PREDICTION] Text: Win free recharge... | Label: spam | Confidence: 0.95
[PREDICTION] Text: 🔥🔥🔥😂😂... | Label: not_spam | Confidence: 0.5
[PREDICTION] Text: 1234567890... | Label: not_spam | Confidence: 0.5
[PREDICTION] Text: win free win free win free win free win free win f... | Label: spam | Confidence: 0.91
[PREDICTION] Text: Win a free recharge now!... | Label: spam | Confidence: 0.95
[PREDICTION] Text: Win a free recharge now!... | Label: spam | Confidence: 0.95
[PREDICTION] Text: Win free recharge !... | Label: spam | Confidence: 0.95
[PREDICTION] Text: Hi ... | Label: not_spam | Confidence: 0.33



[2025-06-19 18:39:42] Text: Hey hellow 👀... | Label: not_spam | Confidence: 0.59
[2025-06-19 18:44:15] Text: Hey Hi... | Label: not_spam | Confidence: 0.47
[2025-06-19 19:39:54] Text: Shall we meet... | Label: not_spam | Confidence: 0.28
[2025-06-19 14:22:03] Text:  Hey nice to meet you ... | Label: not_spam | Confidence: 0.33
[2025-06-19 20:05:45] Text: Hey shall we go to lunch... | Label: not_spam | Confidence: 0.24
[2025-06-20 17:52:56] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 17:56:36] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:02:18] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:02:58] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:03:37] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:03:55] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:13:06] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:13:22] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:13:49] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-20 18:27:03] Text: 🔥🔥🔥😂😂... | Label: not_spam | Confidence: 0.5
[2025-06-20 18:27:05] Text: 1234567890... | Label: not_spam | Confidence: 0.5
[2025-06-20 18:27:07] Text: win free win free win free win free win free win f... | Label: spam | Confidence: 0.91
[2025-06-20 18:27:33] Text: Win a free recharge now!... | Label: spam | Confidence: 0.95
[2025-06-20 18:27:41] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-21 21:06:17] Text: Win FREE IPHONE MAN ... | Label: spam | Confidence: 0.66
[2025-06-21 21:44:21] Text: Win ₹1000 cashback by clicking this link!... | Label: spam | Confidence: 0.65
[2025-06-21 21:45:03] Text: 🔥🔥🔥😂😂... | Label: not_spam | Confidence: 0.5
[2025-06-21 21:45:05] Text: 1234567890... | Label: not_spam | Confidence: 0.5
[2025-06-21 21:45:07] Text: win free win free win free win free win free win f... | Label: spam | Confidence: 0.91
[2025-06-21 21:45:13] Text: Win a free recharge now!... | Label: spam | Confidence: 0.95
